SANTA MARIA;RS;SUL
AVELAR (P.DO ALFERES);RJ;SUDESTE
ARAXA;MG;SUDESTE
ECOLOGIA AGRICOLA;BA;NORDESTE
MONTE AZUL;MG;SUDESTE
BARRA;BA;NORDESTE
PORTEIRINHA;MG;SUDESTE
CABROBO;PE;NORDESTE
RECIFE (CURADO);PE;NORDESTE
ANGRA DOS REIS;RJ;SUDESTE
PORTO DE PEDRAS;AL;NORDESTE
ITUMBIARA;GO;CENTRO-OESTE
ESPERANTINA;PI;NORDESTE
JOAO PESSOA;PB;NORDESTE
TRES LAGOAS;MS;CENTRO-OESTE
PAO DE ACUCAR;RJ;SUDESTE
MONTE SANTO;BA;NORDESTE
TORRES;RS;SUL
SOURE;PA;NORTE
C. DO MATO DENTRO;MG;SUDESTE
VICOSA;MG;SUDESTE
PATOS;PB;NORDESTE
PEDRA AZUL;MG;SUDESTE
MUCURI;BA;NORDESTE
PONTA PORA;MS;CENTRO-OESTE
IGUATU;CE;NORDESTE
BELEM;PA;NORTE
CRUZEIRO DO SUL;AC;NORTE
CIPO;BA;NORDESTE
LENCOIS;BA;NORDESTE
UBATUBA;SP;SUDESTE
PICOS;PI;NORDESTE
MARINGA;PR;SUL
LUZIANIA;GO;CENTRO-OESTE
SALVADOR (ONDINA);BA;NORDESTE
SERIDO (CAICO);RN;NORDESTE
CAPARAO;MG;SUDESTE
FORMOSA;GO;CENTRO-OESTE
SANTA MONICA (VALENCA);BA;NORDESTE
PARNAIBA;PI;NORDESTE
STa. R. DE CASSIA (IBIPETUBA);MG;SUDESTE
GUARABIRA;PB;NORDESTE
CAMPO MOURAO;PR;SUL
FLORANIA;RN;NORDESTE
CAROLINA;MA;NORDESTE
JOAO MONLEVADE;MG;SUDESTE
SAO LUIS;MA;NORDESTE
CURVELO;MG;SUDESTE
ACARAU;CE;NORDESTE
CRUZ ALTA;RS;SUL
CONCORDIA;SC;SUL
MACHADO;MG;SUDESTE
MATA GRANDE;AL;NORDESTE
SOROCABA;SP;SUDESTE
CAXIAS DO SUL;RS;SUL
CARACOL;PI;NORDESTE
PAULO AFONSO;BA;NORDESTE
JURAMENTO;MG;SUDESTE
SAO GONCALO;RJ;SUDESTE
UBERABA;MG;SUDESTE
MARIA DA FE;MG;SUDESTE
CAXIAS;MA;NORDESTE
ARACUAI;MG;SUDESTE
NOVA XAV.(XAVANTINA);MT;CENTRO-OESTE
MARABA;PA;NORTE
FLORIANOPOLIS;SC;SUL
SANTA CRUZ;RN;NORDESTE
PALMEIRA DOS INDIOS;AL;NORDESTE
JANUARIA;MG;SUDESTE
BREVES;PA;NORTE
PIRAPORA;MG;SUDESTE
SANTA MARIA MADALENA;RJ;SUDESTE
TURIACU;MA;NORDESTE
CONCEICAO DO ARAGUAIA;PA;NORTE
ITIRUCU (JAGUAQUARA);BA;NORDESTE
VOTUPORANGA;SP;SUDESTE
BARBACENA;MG;SUDESTE
IVINHEMA;MS;CENTRO-OESTE
SOBRAL;CE;NORDESTE
SAO S.DO PARAISO;MG;SUDESTE
PORTO LUCENA;RS;SUL
ITAITUBA;PA;NORTE
CEARA MIRIM;RN;NORDESTE
NANUQUE-ALCANA;MG;SUDESTE
TAUA;CE;NORDESTEJOAO PINHEIRO;MG;SUDESTE
TAUBATE;SP;SUDESTE
OBIDOS;PA;NORTE
SALINAS;MG;SUDESTE
ARAGUAINA;TO;NORTE
CAMPOS DO JORDAO;SP;SUDESTE
MONTEIRO;PB;NORDESTE
CRATEUS;CE;NORDESTE
NAZARE DA MATA;PE;NORDESTE
POSSE;GO;CENTRO-OESTE
TEFE;AM;NORTE
MONTE ALEGRE;PA;NORTE
LAVRAS;MG;SUDESTE
SAO JOAQUIM;SC;SUL
BACABAL;MA;NORDESTE
RIO BRANCO;AC;NORTE
OURICURI;PE;NORDESTE
IBIRUBA;RS;SUL
RIO VERDE;GO;CENTRO-OESTE
SETE LAGOAS;MG;SUDESTE
GOIAS;GO;CENTRO-OESTE
TERESINA;PI;NORDESTE
ESPINOSA;MG;SUDESTE
ITABAIANINHA;SE;NORDESTE
CORONEL PACHECO;MG;SUDESTE
SAO JOAO DO PIAUI;PI;NORDESTE
EIRUNEPE;AM;NORTE
