;EXTRAPULMONAR;PULMONAR;agravos_aids;agravos_alcool;agravos_diabetes;agravos_tabagismo
EXTRAPULMONAR;1.0;-0.7633199095145012;0.22723905804225478;-0.05867842896990616;-0.028532502751958254;-0.08102587260671607
PULMONAR;-0.7633199095145012;1.0;-0.09805773044687215;0.09445247942395754;0.016112465384745624;0.09082510789634293
agravos_aids;0.22723905804225478;-0.09805773044687215;1.0;0.06875684210574493;-0.08160848294230238;0.05090051237611837
agravos_alcool;-0.05867842896990616;0.09445247942395754;0.06875684210574493;1.0;0.003343096256697634;0.2209226147994013
agravos_diabetes;-0.028532502751958254;0.016112465384745624;-0.08160848294230238;0.003343096256697634;1.0;0.027660962697931165
agravos_tabagismo;-0.08102587260671607;0.09082510789634293;0.05090051237611837;0.2209226147994013;0.027660962697931165;1.0
